,speed,gust,visibility,ceiling,cover,precipitation,obscuration,thunderstorms,snow,clouds,reason,fuel,holding_flights
0,4.12,0.0,9999.0,3048.0,4.0,False,False,False,False,False,,1595.9135682078331,3.0
1,5.14,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,1021.0457955468546,3.0
2,1.54,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,106.6710553818904,1.0
3,2.57,0.0,700.0,61.0,10.0,False,True,False,False,False,,50.58073748334292,1.0
4,2.06,0.0,200.0,61.0,10.0,False,True,False,False,False,,2474.5803335899127,6.0
5,3.09,0.0,3000.0,3048.0,6.0,False,True,False,False,False,,324.4796751267807,3.0
6,1.54,0.0,300.0,30.0,10.0,False,True,False,False,False,,3016.4584732394223,6.0
7,2.06,0.0,450.0,30.0,10.0,False,True,False,False,False,,4040.7848834092074,9.0
8,1.03,0.0,150.0,30.0,10.0,False,True,False,False,False,Weather,1685.8160834479304,3.0
9,2.06,0.0,450.0,30.0,10.0,False,True,False,False,False,Weather,3311.0074503271485,8.0
10,0.51,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,411.8649292983445,3.0
11,0.51,0.0,200.0,30.0,10.0,False,True,False,False,False,Weather,2003.5100939517424,8.0
12,5.66,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,972.5892912621488,4.0
13,1.54,0.0,750.0,30.0,6.0,False,True,False,False,False,Weather,142.50339536880327,2.0
14,0.51,0.0,200.0,30.0,10.0,False,True,False,False,False,Weather,1862.7651672129068,6.0
15,5.14,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,708.2994079238626,5.0
16,1.03,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,106.6193542619347,1.0
17,1.03,0.0,300.0,30.0,10.0,False,True,False,False,False,Weather,4089.717319958215,8.0
18,0.0,0.0,250.0,30.0,10.0,False,True,False,False,False,,499.7171201290174,2.0
19,1.03,0.0,450.0,61.0,10.0,False,True,False,False,False,Weather,319.7860686029633,3.0
20,0.0,0.0,150.0,30.0,10.0,False,True,False,False,False,,292.54922898032146,2.0
21,0.51,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,366.4594178859173,2.0
22,0.0,0.0,150.0,30.0,10.0,False,True,False,False,False,,200.1975023652616,1.0
23,1.54,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,64.49336070151193,1.0
24,1.03,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,46.94199054968878,1.0
25,0.51,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,1153.429843193778,8.0
26,1.03,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,54.4863462788932,1.0
27,1.03,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,168.68097545885175,2.0
28,6.69,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,136.95420987313992,1.0
29,0.0,0.0,500.0,61.0,10.0,False,True,False,False,False,,,
30,1.03,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,200.29432825010883,4.0
31,5.66,0.0,9999.0,579.0,6.0,False,False,False,False,False,,145.40272345527177,1.0
32,6.69,0.0,9999.0,518.0,8.0,False,False,False,False,False,,89.07308233734454,2.0
33,1.03,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,78.12024379668445,1.0
34,1.03,0.0,8000.0,3048.0,0.0,False,False,False,False,False,,103.54097950895994,1.0
35,1.03,0.0,9000.0,3048.0,0.0,False,False,False,False,False,,80.76202289614783,1.0
36,5.66,0.0,9999.0,427.0,6.0,False,False,False,False,False,,466.8299208375526,4.0
37,0.51,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,138.90026440276574,1.0
38,1.54,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,91.33300703715597,1.0
39,1.54,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,15.688701057770295,1.0
40,2.06,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,106.9875627590086,1.0
41,1.54,0.0,100.0,30.0,10.0,False,True,False,False,False,,71.49269424805951,1.0
42,2.06,0.0,8000.0,3048.0,6.0,False,False,False,False,False,,211.05857528570385,2.0
43,5.66,0.0,9999.0,579.0,8.0,False,False,False,False,False,,12.028145744779042,1.0
44,1.03,0.0,100.0,30.0,10.0,False,True,False,False,False,,642.2944481112124,2.0
45,5.14,0.0,9999.0,427.0,6.0,False,False,False,False,False,,94.60245277353674,1.0
46,2.06,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,35.145053775802964,1.0
47,4.63,0.0,9999.0,396.0,8.0,False,False,False,False,False,,106.81440668586048,1.0
48,2.06,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,58.8526966627422,2.0
49,1.03,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,69.46116339035541,1.0
50,5.14,0.0,9999.0,671.0,6.0,False,False,False,False,False,,936.1936917817936,3.0
51,8.23,0.0,9999.0,518.0,8.0,False,False,False,False,False,,758.1396093946148,3.0
52,3.09,0.0,600.0,274.0,8.0,False,True,False,False,False,Weather,24.013075798991064,1.0
53,6.17,0.0,9999.0,549.0,6.0,False,False,False,False,False,,612.3513642692747,4.0
54,2.57,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,111.41590742944594,1.0
55,5.66,0.0,9999.0,671.0,6.0,False,False,False,False,False,,348.62947050502106,3.0
56,1.54,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,119.88816593427406,1.0
57,3.6,0.0,700.0,274.0,8.0,False,True,False,False,False,Weather,368.0484293367987,4.0
58,1.54,0.0,100.0,30.0,10.0,False,True,False,False,False,,272.9103120248279,1.0
59,3.09,0.0,350.0,274.0,8.0,False,True,False,False,False,Weather,673.0811813536758,3.0
60,6.17,0.0,9999.0,762.0,6.0,False,False,False,False,False,,1015.875866757458,5.0
61,3.09,0.0,450.0,274.0,8.0,False,True,False,False,False,Weather,1197.3566838187069,5.0
62,6.17,0.0,9999.0,671.0,8.0,False,False,False,False,False,,,
63,7.72,0.0,9999.0,732.0,6.0,False,False,False,False,False,,721.6042293847235,3.0
64,5.14,0.0,9999.0,244.0,6.0,True,False,False,True,False,,175.6123086089824,1.0
65,3.09,0.0,800.0,274.0,8.0,False,True,False,False,False,Weather,1267.108821093865,6.0
66,0.0,0.0,400.0,61.0,10.0,False,True,False,False,False,,124.86049328616872,1.0
67,1.03,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,683.9144614232373,4.0
68,1.54,0.0,2500.0,91.0,6.0,False,True,False,False,False,,121.40962805332948,1.0
69,7.2,0.0,9999.0,579.0,6.0,False,False,False,False,False,,43.38888312551058,1.0
70,1.54,0.0,1300.0,274.0,8.0,False,True,False,False,False,Weather,113.35966182422516,2.0
71,0.51,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,86.66691205530213,2.0
72,2.06,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,357.09478703215325,2.0
73,12.35,0.0,9999.0,549.0,6.0,False,False,False,False,False,,53.136588543109845,1.0
74,12.86,0.0,9999.0,1067.0,6.0,False,False,False,False,False,,119.95596927019446,1.0
75,1.03,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,156.25421879835042,1.0
76,2.06,0.0,800.0,61.0,6.0,False,True,False,False,False,,105.09327761619612,1.0
77,11.83,0.0,9999.0,1036.0,6.0,False,False,False,False,False,,164.56441314410472,1.0
78,1.03,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,782.4578832017313,4.0
79,1.54,0.0,800.0,61.0,8.0,False,True,False,False,False,,848.2436222454221,3.0
80,5.14,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,102.1967817076898,1.0
81,1.03,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,3257.726638378514,6.0
82,1.54,0.0,3000.0,91.0,6.0,False,True,False,False,False,,193.15784479509537,3.0
83,4.12,0.0,9999.0,3048.0,4.0,False,False,False,False,False,,231.31173471049567,2.0
84,8.75,0.0,9999.0,671.0,6.0,False,False,False,False,False,,21.776290333460867,1.0
85,8.23,0.0,9999.0,671.0,6.0,False,False,False,False,False,,108.1882230725418,1.0
86,6.69,0.0,2600.0,152.0,6.0,True,True,False,False,False,Weather,78.68397258935191,1.0
87,2.06,0.0,3500.0,152.0,8.0,False,True,False,False,False,,11.475312743984386,1.0
88,2.06,0.0,4000.0,305.0,6.0,False,True,False,False,False,,3.984229726101205,1.0
89,3.09,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,106.96930729038404,1.0
90,2.57,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,106.4724409473147,1.0
91,4.63,0.0,9999.0,3048.0,4.0,False,False,False,False,False,,118.63355137020314,2.0
92,1.54,0.0,4500.0,305.0,6.0,False,True,False,False,False,,141.81286810113247,1.0
93,0.51,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,350.0398948640255,1.0
94,1.03,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,441.4994050992924,3.0
95,0.51,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,261.62656425407715,2.0
96,5.14,0.0,9999.0,610.0,6.0,False,False,False,False,False,,212.2725365818148,1.0
97,3.6,0.0,9999.0,3048.0,4.0,False,False,False,False,False,,99.3424364301276,1.0
98,6.17,0.0,2800.0,213.0,8.0,True,False,False,True,False,Weather,44.69236759622932,2.0
99,0.0,0.0,700.0,61.0,10.0,False,True,False,False,False,Weather,0.5934958562270047,1.0
100,4.63,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,22.030581470983996,1.0
101,6.69,0.0,9999.0,610.0,6.0,True,False,False,False,True,,27.464660272243904,1.0
102,6.17,0.0,9999.0,1250.0,6.0,True,False,False,False,True,,7139.656026651112,12.0
103,6.69,0.0,3500.0,213.0,8.0,True,False,False,True,False,Weather,186.30061906751712,2.0
104,4.12,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,97.22586225475408,1.0
105,1.03,0.0,750.0,61.0,10.0,False,True,False,False,False,Weather,105.43088019923958,1.0
106,10.29,15.43,9999.0,792.0,6.0,False,False,False,False,True,,2009.6893510258324,9.0
107,1.54,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,408.5211031573298,2.0
108,1.54,0.0,1200.0,91.0,6.0,False,True,False,False,False,Weather,11.076105113868,1.0
109,3.09,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,260.286350161426,2.0
110,0.51,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,66.34619542997201,1.0
